k,t,x,y,psi,vx,vy,r,u_delta,u_sfx,x_ref,y_ref,psi_ref,vx_ref,vy_ref,r_ref
126.000000,2.520000,0.000000,7.570000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.347338,0.859020,4.996131,3.148282,-0.054970,-0.330425
127.000000,2.540000,0.000000,7.630000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.330766,0.798264,4.989523,3.116429,-0.055531,-0.333242
128.000000,2.560000,0.000000,7.690000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.314781,0.738010,4.982858,3.084613,-0.055172,-0.327393
129.000000,2.580000,0.000000,7.750000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.299361,0.678266,4.976310,3.052782,-0.055235,-0.324785
130.000000,2.600000,0.000000,7.810000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.284500,0.619036,4.969814,3.020957,-0.055136,-0.320885
131.000000,2.620000,0.000000,7.870000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.270185,0.560327,4.963397,2.967751,0.054743,0.425026
132.000000,2.640000,0.000000,7.930000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.254381,0.503104,4.971897,2.907745,0.142177,0.923827
133.000000,2.660000,0.000000,7.990000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.236710,0.447626,4.990374,2.843527,0.197194,1.216211
134.000000,2.680000,0.000000,8.050000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.217311,0.394021,5.014698,2.779210,0.213232,1.266567
135.000000,2.700000,0.000000,8.110000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.196691,0.342227,5.040029,2.715655,0.214323,1.229647
136.000000,2.720000,0.000000,8.170000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.175154,0.292183,5.064622,2.651786,0.214880,1.199524
137.000000,2.740000,0.000000,8.230000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.152824,0.243886,5.088613,2.587736,0.214444,1.168692
138.000000,2.760000,0.000000,8.290000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.129819,0.197327,5.111987,2.523503,0.213441,1.138365
139.000000,2.780000,0.000000,8.350000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.106252,0.152493,5.134754,2.459112,0.211952,1.108081
140.000000,2.800000,0.000000,8.410000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.082224,0.109371,5.156916,2.394576,0.210053,1.077925
141.000000,2.820000,0.000000,8.470000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.057837,0.067940,5.178474,2.432855,0.279491,1.524102
142.000000,2.840000,0.000000,8.530000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.030977,0.026985,5.208956,2.486959,0.332313,1.791995
143.000000,2.860000,0.000000,8.590000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.001437,-0.013580,5.244796,2.557146,0.359321,1.932169
