node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8370.000000,7634.000000,0.000000,0.000000,0.224283,1.763225,0.200000,1.600000,3.883273,-2.069404,3.093759,3.136335,1.773200,0.031339,0.086193,0.036263,-0.023792
8371.000000,5306.000000,0.000000,0.000000,0.229444,2.432770,0.200000,2.200000,2.985577,-2.460945,1.528254,4.848146,1.358227,0.220013,0.941302,0.275744,-0.047979
8372.000000,706.000000,0.000000,0.000000,0.225086,1.103151,0.200000,1.000000,3.132977,-0.167661,3.075397,1.388042,1.670595,-0.170222,-0.724591,-0.182174,-0.027640
8373.000000,8231.000000,0.000000,0.000000,0.238250,3.323515,0.200000,3.000000,1.170796,-0.983304,-0.431470,5.359517,0.513583,0.012374,0.070001,0.035443,-0.096306
8374.000000,6266.000000,0.000000,0.000000,0.237134,3.085182,0.200000,2.800000,2.653358,-2.278363,1.188793,5.051261,1.117730,-0.040788,-0.169445,-0.063413,-0.084851
8375.000000,6687.000000,0.000000,0.000000,0.223382,2.868963,0.200000,2.600000,2.647820,-2.251120,1.225740,5.267088,2.097969,0.323254,1.525201,0.284714,-0.007724
8376.000000,1434.000000,0.000000,0.000000,0.213021,1.978371,0.200000,1.800000,3.888606,-1.927732,3.182988,3.110173,2.148297,-0.110263,-0.685918,-0.087170,0.024877
8377.000000,7363.000000,1.000000,1.000000,0.206752,1.982568,0.200000,1.800000,3.725912,-2.104648,2.884502,3.316131,1.668821,-0.187525,-1.191659,-0.191966,0.054045
8378.000000,2290.000000,0.000000,0.000000,0.225111,0.885812,0.200000,0.800000,2.054766,0.033773,2.001109,1.502939,1.585012,-0.018253,-0.077382,-0.020816,-0.042916
8379.000000,4131.000000,0.000000,0.000000,0.214909,1.540612,0.200000,1.400000,3.619889,-1.211676,3.193016,2.583210,1.419581,-0.185138,-1.353422,-0.221204,0.012297
8380.000000,5635.000000,1.000000,1.000000,0.210600,2.860982,0.200000,2.600000,2.483258,-2.259215,0.734079,5.062218,2.843770,0.131485,0.803282,0.110670,0.098686
8381.000000,7236.000000,0.000000,0.000000,0.218109,1.766084,0.200000,1.600000,3.636909,-1.653281,3.045442,3.083690,1.211214,-0.003639,0.415808,-0.071700,0.003554
8382.000000,7293.000000,1.000000,1.000000,0.223548,3.092981,0.200000,2.800000,2.430595,-2.346803,-0.190592,4.843044,1.669259,0.108378,0.411296,0.119936,-0.023158
8383.000000,2813.000000,0.000000,0.000000,0.209818,3.503303,0.200000,3.200000,1.985727,-1.847936,0.227087,5.069198,2.879263,-0.021582,-0.124731,-0.017072,0.075049
8384.000000,187.000000,0.000000,0.000000,0.217592,1.309981,0.200000,1.200000,2.922196,-0.351270,2.821846,1.491585,3.049947,-0.096123,-0.543824,-0.070446,0.019905
8385.000000,1103.000000,0.000000,0.000000,0.218984,1.114648,0.200000,1.000000,2.819689,0.067406,2.479977,1.638525,0.967973,0.070568,1.031719,0.144789,0.010208
8386.000000,4262.000000,0.000000,0.000000,0.222276,3.522797,0.200000,3.200000,2.082779,-1.962064,-0.406944,5.082068,2.156761,0.113890,0.543408,0.099936,-0.017145
